,City,Cloudiness,Country,Date,Humidity,Latitude,Longitude,Max_Temp,Wind_Speed,date
373,salalah,40,OM,1553359800,74,17.01,54.1,27.0,4.6,1553359800
374,nipawin,1,CA,1553364000,89,53.36,-104.02,5.0,4.6,1553364000
375,slave lake,1,CA,1553364000,45,55.28,-114.77,9.0,4.1,1553364000
376,wajima,88,JP,1553365640,100,37.4,136.9,4.59,7.62,1553365640
377,kremsmunster,0,AT,1553365634,44,48.05,14.13,11.53,2.1,1553365634
378,pinhao,0,BR,1553365446,62,-25.7,-51.66,24.29,1.37,1553365446
380,olga,90,US,1553365640,63,34.11,-118.17,15.61,1.22,1553365640
381,cabedelo,40,BR,1553360400,62,-6.97,-34.84,32.0,4.6,1553360400
382,port blair,0,IN,1553365378,100,11.67,92.75,28.44,2.12,1553365378
383,benesat,0,RO,1553364000,34,47.41,23.29,8.93,2.6,1553364000
384,hirara,68,JP,1553365642,100,24.8,125.28,20.29,10.62,1553365642
385,derzhavinsk,68,KZ,1553365642,89,51.1,66.31,-0.96,1.37,1553365642
386,bursa,40,TR,1553363400,33,40.18,29.07,7.14,4.6,1553363400
388,miguel auza,0,MX,1553365430,24,24.29,-103.45,20.24,1.52,1553365430
390,guarapari,75,BR,1553365183,58,-20.67,-40.5,28.73,6.2,1553365183
391,mahebourg,75,MU,1553365440,83,-20.41,57.7,26.14,4.6,1553365440
392,killybegs,75,IE,1553365625,75,54.63,-8.45,7.4,4.6,1553365625
393,kupang,32,ID,1553365529,93,-10.16,123.6,27.84,4.82,1553365529
394,bismarck,1,US,1553365417,93,46.81,-100.78,6.68,5.7,1553365417
395,port hedland,75,AU,1553364120,100,-20.31,118.58,27.0,17.5,1553364120
396,saint-pierre,0,FR,1553365324,81,48.95,4.24,8.96,4.1,1553365324
397,champerico,5,MX,1553363160,40,16.38,-93.6,30.0,3.1,1553363160
398,estelle,90,US,1553365641,77,32.87,-97.01,18.61,6.7,1553365641
399,algiers,75,US,1553365643,43,29.94,-90.04,23.17,2.52,1553365643
400,hithadhoo,68,MV,1553365487,100,-0.6,73.08,30.49,3.27,1553365487
401,aksu,40,KZ,1553362200,100,52.04,76.93,-2.0,1.0,1553362200
402,vostok,0,RU,1553365335,67,46.45,135.83,-14.26,1.12,1553365335
403,gilleleje,0,DK,1553365631,82,56.12,12.31,5.94,4.1,1553365631
404,hofn,92,IS,1553365481,100,64.25,-15.21,3.04,4.12,1553365481
405,ancud,75,CL,1553364000,67,-41.87,-73.83,15.0,2.6,1553364000
406,sahibganj,0,IN,1553365646,43,25.24,87.63,19.29,3.67,1553365646
408,ossora,56,RU,1553365513,83,59.24,163.07,-10.06,5.27,1553365513
409,necochea,0,AR,1553364990,34,-38.55,-58.74,27.78,4.47,1553364990
410,igrim,32,RU,1553365646,89,63.19,64.42,-2.46,1.77,1553365646
411,saint-philippe,1,CA,1553365633,84,45.36,-73.48,-0.22,9.3,1553365633
412,lyskovo,68,RU,1553365647,92,56.03,45.04,-0.01,2.67,1553365647
414,arona,0,IT,1553365464,27,45.76,8.56,16.82,2.1,1553365464
415,togur,68,RU,1553365647,85,58.36,82.83,-6.31,1.17,1553365647
416,mankono,92,CI,1553365647,55,8.06,-6.19,31.49,1.52,1553365647
417,netrakona,0,BD,1553365648,77,24.88,90.72,17.84,1.27,1553365648
418,port augusta,92,AU,1553365169,93,-32.49,137.76,19.11,1.57,1553365169
420,buraydah,0,SA,1553360400,36,26.33,43.97,24.0,1.0,1553360400
421,boa vista,40,BR,1553364000,34,2.82,-60.67,35.0,3.6,1553364000
422,naranjal,75,PY,1553364000,52,-25.97,-55.19,31.0,1.62,1553364000
423,petropavlovsk-kamchatskiy,40,RU,1553360400,81,53.05,158.65,0.0,5.0,1553360400
424,maracaju,0,BR,1553365393,83,-21.61,-55.17,28.64,2.07,1553365393
425,whitianga,88,NZ,1553365509,98,-36.83,175.7,15.56,2.07,1553365509
426,antalaha,64,MG,1553365650,89,-14.9,50.28,26.44,4.07,1553365650
427,manaus,40,BR,1553360400,63,-3.13,-59.98,33.0,2.6,1553360400
428,toora-khem,0,RU,1553365558,73,52.47,96.11,-10.06,1.47,1553365558
431,pestravka,92,RU,1553365651,94,52.4,49.95,0.49,5.22,1553365651
432,bandarbeyla,36,SO,1553365651,100,9.49,50.81,27.24,4.22,1553365651
433,dingle,68,PH,1553365495,77,11.0,122.67,25.04,5.42,1553365495
434,sao jose da coroa grande,0,BR,1553365652,100,-8.9,-35.15,29.04,4.32,1553365652
435,port pirie,92,AU,1553364000,93,-33.18,138.01,18.0,3.22,1553364000
436,matay,92,EG,1553365652,17,28.42,30.79,28.59,8.07,1553365652
437,rabaul,56,PG,1553365652,100,-4.2,152.17,26.14,2.12,1553365652
438,newport,76,GB,1553365630,66,51.59,-3.0,9.55,4.1,1553365630
439,mgandu,44,TZ,1553365653,39,-5.96,34.11,25.84,4.92,1553365653
440,kedrovyy,0,RU,1553362200,86,56.17,91.82,-2.0,1.12,1553362200
441,la ronge,90,CA,1553364000,67,55.1,-105.3,0.0,4.6,1553364000
442,pringsewu,20,ID,1553365459,89,-5.36,104.98,23.84,1.07,1553365459
443,verkhnevilyuysk,88,RU,1553365654,69,63.45,120.31,-10.56,4.17,1553365654
444,black river,20,JM,1553364990,66,18.03,-77.85,28.93,10.3,1553364990
445,sisimiut,68,GL,1553365654,71,66.94,-53.67,-21.56,1.02,1553365654
446,axim,12,GH,1553365536,93,4.87,-2.24,29.24,4.87,1553365536
447,sioux lookout,20,CA,1553364000,28,50.1,-91.92,7.42,3.6,1553364000
448,kloulklubed,40,PW,1553363400,88,7.04,134.26,24.0,1.5,1553363400
449,souillac,0,FR,1553365629,34,45.6,-0.6,17.65,2.6,1553365629
450,ciudad bolivar,0,VE,1553365655,26,8.12,-63.55,36.79,5.57,1553365655
451,wanning,0,AT,1553365643,44,48.64,13.53,11.19,2.1,1553365643
452,terra santa,68,BR,1553365656,76,-2.1,-56.49,28.94,2.67,1553365656
453,lompoc,90,US,1553365643,87,34.64,-120.46,13.66,1.5,1553365643
454,athens,1,US,1553365442,29,34.8,-86.97,17.2,3.1,1553365442
455,beringovskiy,92,RU,1553365657,84,63.05,179.32,-13.96,9.27,1553365657
456,moron,0,VE,1553365657,50,10.49,-68.2,30.69,2.07,1553365657
457,mokolo,36,CM,1553365657,23,10.74,13.8,31.94,2.27,1553365657
458,husavik,0,CA,1553365224,65,50.56,-96.99,5.3,3.58,1553365224
459,bathsheba,20,BB,1553364000,58,13.22,-59.52,29.0,7.7,1553364000
460,kulhudhuffushi,0,MV,1553365525,100,6.62,73.07,29.19,2.32,1553365525
461,xichang,92,CN,1553365658,97,27.88,102.25,5.59,0.77,1553365658
462,wattegama,12,LK,1553365407,93,7.35,80.68,20.54,1.12,1553365407
463,isangel,92,VU,1553365658,100,-19.55,169.27,24.99,6.77,1553365658
465,cabo san lucas,5,MX,1553365518,30,22.89,-109.91,24.59,5.1,1553365518
466,payakumbuh,68,ID,1553365659,84,-0.23,100.63,22.94,1.07,1553365659
467,basco,1,US,1553365455,58,40.33,-91.2,11.78,5.7,1553365455
468,ordynskoye,36,RU,1553365659,85,54.37,81.9,-5.91,3.17,1553365659
469,noumea,44,NC,1553362200,83,-22.28,166.46,23.0,2.72,1553362200
470,port-cartier,75,CA,1553365409,68,50.03,-66.88,-0.32,4.6,1553365409
472,calama,0,CL,1553364000,13,-22.46,-68.93,24.65,12.3,1553364000
473,aswan,0,EG,1553360400,22,24.09,32.9,31.0,3.1,1553360400
474,pontianak,24,ID,1553365660,97,-0.02,109.34,26.44,3.17,1553365660
475,berndorf,0,AT,1553365661,54,47.95,16.11,12.39,1.0,1553365661
476,great yarmouth,0,GB,1553365657,61,52.61,1.73,7.46,2.1,1553365657
477,hirtshals,0,DK,1553365661,78,57.59,9.96,6.49,12.97,1553365661
478,sambava,32,MG,1553365661,100,-14.27,50.17,28.34,7.22,1553365661
479,mayahi,0,NE,1553365662,43,13.95,7.67,33.94,1.37,1553365662
480,karema,24,TZ,1553365662,95,-6.82,30.44,21.04,0.72,1553365662
481,archidona,75,EC,1553364000,100,-0.91,-77.81,25.0,0.5,1553364000
482,barabinsk,76,RU,1553365662,93,55.35,78.35,-1.46,1.62,1553365662
483,sindor,48,RU,1553365663,82,62.87,51.9,-2.51,3.87,1553365663
484,altay,0,CN,1553365663,47,47.83,88.13,-14.91,2.62,1553365663
485,jalu,8,LY,1553365663,43,29.03,21.55,21.84,6.17,1553365663
486,rocha,0,UY,1553365502,58,-34.48,-54.34,24.14,3.92,1553365502
487,shingu,0,JP,1553365663,100,33.72,135.99,8.59,6.57,1553365663
489,mulki,0,PL,1553365657,66,49.81,20.51,9.84,0.5,1553365657
490,dalvik,0,SE,1553365504,69,57.79,14.13,4.15,6.7,1553365504
491,humboldt,0,CA,1553365407,100,52.21,-105.12,6.99,4.32,1553365407
492,chifeng,0,CN,1553365664,63,42.27,118.96,-3.61,3.77,1553365664
493,soverato,0,IT,1553363400,82,38.69,16.55,13.53,1.0,1553363400
494,roswell,1,US,1553365588,18,33.39,-104.52,19.83,2.1,1553365588
495,dubna,0,RU,1553365665,77,56.76,37.14,-3.81,2.67,1553365665
496,turukhansk,88,RU,1553365562,88,65.8,87.96,-6.91,1.42,1553365562
498,manacapuru,76,BR,1553365666,79,-3.3,-60.62,29.69,2.57,1553365666
499,altus,1,US,1553364995,43,34.64,-99.33,21.06,4.6,1553364995
501,nago,0,IT,1553365649,31,45.88,10.89,14.64,1.0,1553365649
502,nucsoara,0,RO,1553365539,23,45.33,24.78,11.67,0.77,1553365539
503,chapais,1,CA,1553364000,35,49.78,-74.86,-5.0,4.6,1553364000
504,afua,32,NG,1553365667,85,5.27,7.87,26.54,2.57,1553365667
505,kamina,36,CD,1553365667,90,-8.74,25.0,21.99,1.97,1553365667
506,bosaso,0,SO,1553365667,100,11.28,49.18,25.74,0.62,1553365667
507,grindavik,90,IS,1553364998,100,63.84,-22.43,2.7,7.2,1553364998
510,manggar,12,ID,1553365668,100,-2.88,108.27,24.74,1.47,1553365668
511,avera,1,US,1553365461,28,33.19,-82.53,19.51,4.1,1553365461
512,kaseda,75,JP,1553365394,53,31.42,130.32,8.25,1.0,1553365394
513,khakhea,36,BW,1553365669,30,-24.69,23.5,27.74,3.32,1553365669
514,ahipara,64,NZ,1553365469,100,-35.17,173.16,15.94,1.07,1553365469
515,agadez,0,NE,1553360400,19,16.97,7.99,36.0,4.1,1553360400
517,chumikan,0,RU,1553365382,53,54.72,135.31,-13.91,3.47,1553365382
518,pitea,0,SE,1553365573,51,65.32,21.48,4.25,6.2,1553365573
519,byron bay,0,AU,1553365635,88,-28.65,153.62,21.72,3.6,1553365635
520,morant bay,20,JM,1553364000,62,17.88,-76.41,29.0,6.2,1553364000
522,port said,32,EG,1553365670,13,25.34,30.55,33.09,5.27,1553365670
523,padang,24,ID,1553365662,100,-0.92,100.36,25.84,1.77,1553365662
524,miri,12,NG,1553365545,21,10.31,9.75,31.69,3.77,1553365545
525,aden,20,YE,1553365512,95,12.79,45.03,26.69,8.62,1553365512
527,kango,76,GA,1553365671,96,0.19,10.1,23.74,1.32,1553365671
529,mehtar lam,1,AF,1553360100,55,34.67,70.21,16.0,2.1,1553360100
530,nisia floresta,40,BR,1553364000,62,-6.09,-35.21,30.95,3.1,1553364000
532,nadym,92,RU,1553365411,93,65.53,72.51,-1.81,3.12,1553365411
533,santa rosa,0,AR,1553365674,44,-36.62,-64.29,27.84,4.07,1553365674
534,rockhampton,0,AU,1553362200,88,-23.38,150.51,22.0,1.0,1553362200
535,egvekinot,88,RU,1553365674,65,66.32,-179.17,-18.61,2.32,1553365674
536,palmaner,0,IN,1553365675,50,13.2,78.75,24.19,3.02,1553365675
537,port-gentil,40,GA,1553364000,83,-0.72,8.78,29.0,3.1,1553364000
538,izumo,75,JP,1553360400,80,35.37,132.75,4.0,3.6,1553360400
539,abu dhabi,88,AE,1553360400,40,24.47,54.37,30.0,4.1,1553360400
540,khasan,0,RU,1553365676,100,42.43,130.64,-4.36,3.77,1553365676
541,moosomin,8,CA,1553365676,95,50.14,-101.67,4.04,1.77,1553365676
542,shuangyang,76,CN,1553365676,80,25.0,118.61,10.34,6.02,1553365676
543,beaverlodge,75,CA,1553364000,69,55.21,-119.43,3.0,2.6,1553364000
544,half moon bay,20,US,1553365516,76,37.46,-122.43,13.86,3.6,1553365516
545,ternate,40,PH,1553365033,69,14.29,120.72,26.63,4.1,1553365033
546,paso de carrasco,75,UY,1553364983,44,-34.86,-56.05,23.62,3.1,1553364983
547,namatanai,68,PG,1553365677,100,-3.66,152.44,27.49,4.47,1553365677
548,zambezi,0,ZM,1553365677,49,-13.55,23.12,24.84,3.92,1553365677
549,nabire,68,ID,1553365678,96,-3.36,135.5,20.59,0.62,1553365678
550,jacareacanga,44,BR,1553365678,71,-6.22,-57.76,30.59,1.22,1553365678
551,pochutla,20,MX,1553364927,55,15.74,-96.47,30.87,6.2,1553364927
552,gostilitsy,90,RU,1553365441,86,59.75,29.62,2.37,4.0,1553365441
553,zhigansk,68,RU,1553365580,78,66.77,123.37,-12.91,2.87,1553365580
554,troitskoye,0,RU,1553365679,73,52.98,84.68,-7.41,1.12,1553365679
556,praya,75,ID,1553364000,100,-8.71,116.27,24.0,4.1,1553364000
557,bronte,20,IT,1553365571,100,37.79,14.83,12.54,2.1,1553365571
558,havre-saint-pierre,90,CA,1553365020,86,50.23,-63.6,-2.0,10.3,1553365020
559,lumeje,0,AO,1553365680,29,-11.56,20.78,27.84,3.82,1553365680
561,omsukchan,0,RU,1553365680,36,62.53,155.8,-25.01,1.12,1553365680
562,fuxin,0,CN,1553365680,30,42.02,121.65,1.69,5.27,1553365680
563,nouadhibou,20,MR,1553364000,77,20.93,-17.03,20.0,8.2,1553364000
564,tahoua,0,NE,1553364000,9,14.89,5.26,36.0,4.1,1553364000
565,vancouver,90,US,1553365521,76,45.63,-122.67,10.73,1.5,1553365521
566,adrar,0,DZ,1553364000,15,27.87,-0.29,26.0,5.1,1553364000
568,chicama,0,PE,1553364000,78,-7.84,-79.15,22.0,5.7,1553364000
569,constantine,40,DZ,1553364000,76,36.36,6.61,12.0,2.6,1553364000
570,prince rupert,90,CA,1553364000,61,54.32,-130.32,10.0,3.6,1553364000
571,mount pleasant,90,US,1553365259,60,33.16,-94.97,21.25,3.1,1553365259
572,alghero,0,IT,1553363400,58,40.56,8.32,14.0,3.1,1553363400
573,nakhon phanom,12,LA,1553365684,70,17.4,104.79,23.54,2.97,1553365684
574,king city,40,US,1553365214,76,36.21,-121.13,12.86,3.1,1553365214
575,zaragoza,0,ES,1553365516,21,41.65,-0.88,18.97,3.6,1553365516
576,glendive,1,US,1553364900,75,47.11,-104.71,5.91,2.12,1553364900
577,luorong,80,CN,1553365685,97,24.41,109.6,8.84,4.12,1553365685
578,meadow lake,5,CA,1553364000,77,54.13,-108.44,5.0,1.5,1553364000
579,baghdad,40,IQ,1553360400,52,33.3,44.38,19.0,3.6,1553360400
580,tutoia,40,BR,1553360400,52,-2.76,-42.27,32.0,4.6,1553360400
581,talcahuano,20,CL,1553364000,68,-36.72,-73.12,21.0,7.7,1553364000
582,qasigiannguit,75,GL,1553363400,39,68.82,-51.19,-21.0,5.7,1553363400
583,shubarshi,48,KZ,1553365686,77,48.59,57.19,1.44,1.27,1553365686
585,marshall,1,US,1553365657,32,39.39,-87.69,10.42,3.1,1553365657
586,kamaishi,0,JP,1553365390,84,39.28,141.86,-5.21,0.77,1553365390
587,mabayo,40,PH,1553360400,78,14.73,120.28,25.61,1.5,1553360400
588,parvatipuram,0,IN,1553365687,93,18.78,83.43,19.94,1.17,1553365687
589,pimentel,48,BR,1553365687,77,-3.7,-45.5,29.54,2.12,1553365687
590,mumbwa,44,ZM,1553365687,49,-14.99,27.06,24.09,4.12,1553365687
591,sarapulka,0,RU,1553362200,92,56.87,61.06,-3.0,1.0,1553362200
592,pedernales,80,EC,1553365688,70,0.07,-80.05,30.09,1.97,1553365688
593,taseyevo,8,RU,1553365564,81,57.22,94.9,-7.31,1.17,1553365564
594,saint anthony,90,US,1553365532,86,43.97,-111.68,5.1,2.1,1553365532
595,tonota,0,BW,1553364000,53,-21.44,27.46,23.0,3.1,1553364000
596,sola,40,NO,1553365504,81,58.89,5.65,5.52,8.7,1553365504
597,saint-georges,88,CA,1553365033,78,46.12,-70.67,-1.13,4.47,1553365033
598,kailua,90,US,1553365456,73,21.39,-157.74,21.36,4.1,1553365456
599,gunjur,0,GM,1553364000,64,13.18,-16.76,24.0,6.2,1553364000
600,kalmunai,0,LK,1553365690,94,7.42,81.82,23.89,1.22,1553365690
601,namibe,24,AO,1553365529,100,-15.19,12.15,25.69,3.02,1553365529
602,saldanha,24,PT,1553365690,29,41.42,-6.55,18.19,3.87,1553365690
603,pokosnoye,44,RU,1553365690,81,55.53,101.05,-4.66,2.02,1553365690
604,biak,44,ID,1553365691,97,-0.91,122.88,26.34,1.42,1553365691
605,hambantota,8,LK,1553365691,100,6.12,81.12,26.24,1.87,1553365691
606,cam ranh,40,VN,1553362200,83,11.92,109.15,29.0,2.6,1553362200
607,yulara,56,AU,1553364000,36,-25.24,130.99,27.0,4.6,1553364000
608,khatassy,40,RU,1553362200,60,61.91,129.64,-12.0,4.0,1553362200
609,krasnohrad,48,UA,1553365692,72,49.38,35.45,3.34,5.82,1553365692
610,khandagayty,0,MN,1553365692,54,50.73,92.07,-13.11,1.07,1553365692
611,khandyga,8,RU,1553365692,43,62.65,135.58,-26.16,1.07,1553365692
612,joao camara,40,BR,1553364000,74,-5.54,-35.82,30.0,3.1,1553364000
613,caconda,92,AO,1553365693,70,-13.73,15.06,19.99,2.17,1553365693
614,lucapa,24,AO,1553365693,92,-8.42,20.74,22.59,1.12,1553365693
615,hirado,0,JP,1553365555,44,33.32,129.49,7.85,2.68,1553365555
616,chippewa falls,1,US,1553365517,42,44.94,-91.39,7.57,1.5,1553365517
